GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US08001007801,8001007801,"Census Tract 78.01, Adams County, Colorado",1967,3
1400000US08001007802,8001007802,"Census Tract 78.02, Adams County, Colorado",1969,4
1400000US08001007900,8001007900,"Census Tract 79, Adams County, Colorado",1960,2
1400000US08001008000,8001008000,"Census Tract 80, Adams County, Colorado",1954,1
1400000US08001008100,8001008100,"Census Tract 81, Adams County, Colorado",2005,1
1400000US08001008200,8001008200,"Census Tract 82, Adams County, Colorado",1963,2
1400000US08001008308,8001008308,"Census Tract 83.08, Adams County, Colorado",1978,2
1400000US08001008309,8001008309,"Census Tract 83.09, Adams County, Colorado",1980,4
1400000US08001008353,8001008353,"Census Tract 83.53, Adams County, Colorado",1992,5
1400000US08001008401,8001008401,"Census Tract 84.01, Adams County, Colorado",1987,3
1400000US08001008402,8001008402,"Census Tract 84.02, Adams County, Colorado",1999,3
1400000US08001008505,8001008505,"Census Tract 85.05, Adams County, Colorado",1964,2
1400000US08001008506,8001008506,"Census Tract 85.06, Adams County, Colorado",1977,2
1400000US08001008507,8001008507,"Census Tract 85.07, Adams County, Colorado",1966,1
1400000US08001008508,8001008508,"Census Tract 85.08, Adams County, Colorado",1982,4
1400000US08001008523,8001008523,"Census Tract 85.23, Adams County, Colorado",2001,1
1400000US08001008524,8001008524,"Census Tract 85.24, Adams County, Colorado",1996,1
1400000US08001008526,8001008526,"Census Tract 85.26, Adams County, Colorado",1994,1
1400000US08001008529,8001008529,"Census Tract 85.29, Adams County, Colorado",1999,2
1400000US08001008533,8001008533,"Census Tract 85.33, Adams County, Colorado",2001,2
1400000US08001008534,8001008534,"Census Tract 85.34, Adams County, Colorado",1978,1
1400000US08001008535,8001008535,"Census Tract 85.35, Adams County, Colorado",2002,2
1400000US08001008536,8001008536,"Census Tract 85.36, Adams County, Colorado",2004,1
1400000US08001008537,8001008537,"Census Tract 85.37, Adams County, Colorado",2003,1
1400000US08001008538,8001008538,"Census Tract 85.38, Adams County, Colorado",-,**
1400000US08001008539,8001008539,"Census Tract 85.39, Adams County, Colorado",2005,1
1400000US08001008540,8001008540,"Census Tract 85.40, Adams County, Colorado",2005,1
1400000US08001008541,8001008541,"Census Tract 85.41, Adams County, Colorado",2003,2
1400000US08001008542,8001008542,"Census Tract 85.42, Adams County, Colorado",-,**
1400000US08001008543,8001008543,"Census Tract 85.43, Adams County, Colorado",1994,3
1400000US08001008544,8001008544,"Census Tract 85.44, Adams County, Colorado",-,**
1400000US08001008545,8001008545,"Census Tract 85.45, Adams County, Colorado",1991,2
1400000US08001008546,8001008546,"Census Tract 85.46, Adams County, Colorado",1987,2
1400000US08001008547,8001008547,"Census Tract 85.47, Adams County, Colorado",1990,3
1400000US08001008548,8001008548,"Census Tract 85.48, Adams County, Colorado",2005,2
1400000US08001008549,8001008549,"Census Tract 85.49, Adams County, Colorado",1995,1
1400000US08001008550,8001008550,"Census Tract 85.50, Adams County, Colorado",1989,3
1400000US08001008551,8001008551,"Census Tract 85.51, Adams County, Colorado",2000,13
1400000US08001008603,8001008603,"Census Tract 86.03, Adams County, Colorado",1947,5
1400000US08001008604,8001008604,"Census Tract 86.04, Adams County, Colorado",1986,4
1400000US08001008605,8001008605,"Census Tract 86.05, Adams County, Colorado",1976,2
1400000US08001008606,8001008606,"Census Tract 86.06, Adams County, Colorado",1973,3
1400000US08001008705,8001008705,"Census Tract 87.05, Adams County, Colorado",1957,1
1400000US08001008706,8001008706,"Census Tract 87.06, Adams County, Colorado",1958,2
1400000US08001008709,8001008709,"Census Tract 87.09, Adams County, Colorado",1968,5
1400000US08001008801,8001008801,"Census Tract 88.01, Adams County, Colorado",1959,2
1400000US08001008802,8001008802,"Census Tract 88.02, Adams County, Colorado",1967,7
1400000US08001008901,8001008901,"Census Tract 89.01, Adams County, Colorado",1956,1
1400000US08001009001,8001009001,"Census Tract 90.01, Adams County, Colorado",1964,3
1400000US08001009002,8001009002,"Census Tract 90.02, Adams County, Colorado",1979,2
1400000US08001009101,8001009101,"Census Tract 91.01, Adams County, Colorado",-,**
1400000US08001009103,8001009103,"Census Tract 91.03, Adams County, Colorado",1994,2
1400000US08001009104,8001009104,"Census Tract 91.04, Adams County, Colorado",1988,3
1400000US08001009202,8001009202,"Census Tract 92.02, Adams County, Colorado",-,**
1400000US08001009203,8001009203,"Census Tract 92.03, Adams County, Colorado",1980,2
1400000US08001009204,8001009204,"Census Tract 92.04, Adams County, Colorado",2000,2
1400000US08001009206,8001009206,"Census Tract 92.06, Adams County, Colorado",1999,4
1400000US08001009207,8001009207,"Census Tract 92.07, Adams County, Colorado",1987,3
1400000US08001009304,8001009304,"Census Tract 93.04, Adams County, Colorado",1975,2
1400000US08001009306,8001009306,"Census Tract 93.06, Adams County, Colorado",1967,1
1400000US08001009307,8001009307,"Census Tract 93.07, Adams County, Colorado",1967,2
1400000US08001009308,8001009308,"Census Tract 93.08, Adams County, Colorado",1970,7
1400000US08001009309,8001009309,"Census Tract 93.09, Adams County, Colorado",1981,5
1400000US08001009310,8001009310,"Census Tract 93.10, Adams County, Colorado",1962,3
1400000US08001009316,8001009316,"Census Tract 93.16, Adams County, Colorado",1990,3
1400000US08001009318,8001009318,"Census Tract 93.18, Adams County, Colorado",1979,2
1400000US08001009319,8001009319,"Census Tract 93.19, Adams County, Colorado",1979,3
1400000US08001009320,8001009320,"Census Tract 93.20, Adams County, Colorado",1984,2
1400000US08001009321,8001009321,"Census Tract 93.21, Adams County, Colorado",1984,3
1400000US08001009322,8001009322,"Census Tract 93.22, Adams County, Colorado",1986,2
1400000US08001009323,8001009323,"Census Tract 93.23, Adams County, Colorado",1975,3
1400000US08001009325,8001009325,"Census Tract 93.25, Adams County, Colorado",1987,2
1400000US08001009326,8001009326,"Census Tract 93.26, Adams County, Colorado",1996,1
1400000US08001009327,8001009327,"Census Tract 93.27, Adams County, Colorado",1969,2
1400000US08001009401,8001009401,"Census Tract 94.01, Adams County, Colorado",1963,2
1400000US08001009406,8001009406,"Census Tract 94.06, Adams County, Colorado",1975,2
1400000US08001009407,8001009407,"Census Tract 94.07, Adams County, Colorado",1974,1
1400000US08001009408,8001009408,"Census Tract 94.08, Adams County, Colorado",2002,1
1400000US08001009409,8001009409,"Census Tract 94.09, Adams County, Colorado",1993,3
1400000US08001009410,8001009410,"Census Tract 94.10, Adams County, Colorado",1983,2
1400000US08001009411,8001009411,"Census Tract 94.11, Adams County, Colorado",1988,1
1400000US08001009501,8001009501,"Census Tract 95.01, Adams County, Colorado",1957,1
1400000US08001009502,8001009502,"Census Tract 95.02, Adams County, Colorado",1958,2
1400000US08001009553,8001009553,"Census Tract 95.53, Adams County, Colorado",1963,3
1400000US08001009603,8001009603,"Census Tract 96.03, Adams County, Colorado",1963,9
1400000US08001009604,8001009604,"Census Tract 96.04, Adams County, Colorado",1965,2
1400000US08001009606,8001009606,"Census Tract 96.06, Adams County, Colorado",1967,8
1400000US08001009607,8001009607,"Census Tract 96.07, Adams County, Colorado",1979,2
1400000US08001009608,8001009608,"Census Tract 96.08, Adams County, Colorado",1980,4
1400000US08001009751,8001009751,"Census Tract 97.51, Adams County, Colorado",1970,4
1400000US08001009752,8001009752,"Census Tract 97.52, Adams County, Colorado",1968,5
1400000US08001015000,8001015000,"Census Tract 150, Adams County, Colorado",1978,2
1400000US08001060000,8001060000,"Census Tract 600, Adams County, Colorado",2002,2
1400000US08001060100,8001060100,"Census Tract 601, Adams County, Colorado",1995,1
1400000US08001060200,8001060200,"Census Tract 602, Adams County, Colorado",1988,3
1400000US08001061200,8001061200,"Census Tract 612, Adams County, Colorado",2004,1
1400000US08001988700,8001988700,"Census Tract 9887, Adams County, Colorado",-,**
1400000US08005004951,8005004951,"Census Tract 49.51, Arapahoe County, Colorado",1976,1
1400000US08005004952,8005004952,"Census Tract 49.52, Arapahoe County, Colorado",1987,10
1400000US08005005551,8005005551,"Census Tract 55.51, Arapahoe County, Colorado",1968,9
1400000US08005005552,8005005552,"Census Tract 55.52, Arapahoe County, Colorado",1966,4
1400000US08005005553,8005005553,"Census Tract 55.53, Arapahoe County, Colorado",1966,3
1400000US08005005611,8005005611,"Census Tract 56.11, Arapahoe County, Colorado",1964,1
1400000US08005005612,8005005612,"Census Tract 56.12, Arapahoe County, Colorado",1973,3
1400000US08005005614,8005005614,"Census Tract 56.14, Arapahoe County, Colorado",1966,1
1400000US08005005619,8005005619,"Census Tract 56.19, Arapahoe County, Colorado",1967,2
1400000US08005005620,8005005620,"Census Tract 56.20, Arapahoe County, Colorado",1992,2
1400000US08005005621,8005005621,"Census Tract 56.21, Arapahoe County, Colorado",1977,1
1400000US08005005622,8005005622,"Census Tract 56.22, Arapahoe County, Colorado",1993,2
1400000US08005005623,8005005623,"Census Tract 56.23, Arapahoe County, Colorado",1977,2
1400000US08005005624,8005005624,"Census Tract 56.24, Arapahoe County, Colorado",1972,3
1400000US08005005625,8005005625,"Census Tract 56.25, Arapahoe County, Colorado",1968,2
1400000US08005005626,8005005626,"Census Tract 56.26, Arapahoe County, Colorado",1973,2
1400000US08005005627,8005005627,"Census Tract 56.27, Arapahoe County, Colorado",1972,2
1400000US08005005628,8005005628,"Census Tract 56.28, Arapahoe County, Colorado",1973,2
1400000US08005005629,8005005629,"Census Tract 56.29, Arapahoe County, Colorado",1989,1
1400000US08005005630,8005005630,"Census Tract 56.30, Arapahoe County, Colorado",1982,2
1400000US08005005631,8005005631,"Census Tract 56.31, Arapahoe County, Colorado",1981,1
1400000US08005005632,8005005632,"Census Tract 56.32, Arapahoe County, Colorado",1984,1
1400000US08005005633,8005005633,"Census Tract 56.33, Arapahoe County, Colorado",1989,2
1400000US08005005634,8005005634,"Census Tract 56.34, Arapahoe County, Colorado",1987,2
1400000US08005005635,8005005635,"Census Tract 56.35, Arapahoe County, Colorado",1978,1
1400000US08005005636,8005005636,"Census Tract 56.36, Arapahoe County, Colorado",1993,2
1400000US08005005700,8005005700,"Census Tract 57, Arapahoe County, Colorado",1976,7
1400000US08005005800,8005005800,"Census Tract 58, Arapahoe County, Colorado",1954,2
1400000US08005005951,8005005951,"Census Tract 59.51, Arapahoe County, Colorado",1965,4
1400000US08005005952,8005005952,"Census Tract 59.52, Arapahoe County, Colorado",1977,3
1400000US08005006000,8005006000,"Census Tract 60, Arapahoe County, Colorado",1958,3
1400000US08005006100,8005006100,"Census Tract 61, Arapahoe County, Colorado",1950,3
1400000US08005006200,8005006200,"Census Tract 62, Arapahoe County, Colorado",1955,2
1400000US08005006300,8005006300,"Census Tract 63, Arapahoe County, Colorado",1952,2
1400000US08005006400,8005006400,"Census Tract 64, Arapahoe County, Colorado",1959,3
1400000US08005006501,8005006501,"Census Tract 65.01, Arapahoe County, Colorado",1998,5
1400000US08005006502,8005006502,"Census Tract 65.02, Arapahoe County, Colorado",1958,2
1400000US08005006601,8005006601,"Census Tract 66.01, Arapahoe County, Colorado",1970,3
1400000US08005006603,8005006603,"Census Tract 66.03, Arapahoe County, Colorado",1967,3
1400000US08005006604,8005006604,"Census Tract 66.04, Arapahoe County, Colorado",1963,4
1400000US08005006704,8005006704,"Census Tract 67.04, Arapahoe County, Colorado",1977,3
1400000US08005006705,8005006705,"Census Tract 67.05, Arapahoe County, Colorado",1971,7
1400000US08005006706,8005006706,"Census Tract 67.06, Arapahoe County, Colorado",1981,2
1400000US08005006707,8005006707,"Census Tract 67.07, Arapahoe County, Colorado",1974,2
1400000US08005006708,8005006708,"Census Tract 67.08, Arapahoe County, Colorado",1984,1
1400000US08005006709,8005006709,"Census Tract 67.09, Arapahoe County, Colorado",1981,2
1400000US08005006711,8005006711,"Census Tract 67.11, Arapahoe County, Colorado",1975,2
1400000US08005006712,8005006712,"Census Tract 67.12, Arapahoe County, Colorado",2001,4
1400000US08005006713,8005006713,"Census Tract 67.13, Arapahoe County, Colorado",1994,2
1400000US08005006808,8005006808,"Census Tract 68.08, Arapahoe County, Colorado",1978,2
1400000US08005006815,8005006815,"Census Tract 68.15, Arapahoe County, Colorado",1980,2
1400000US08005006854,8005006854,"Census Tract 68.54, Arapahoe County, Colorado",1986,13
1400000US08005006855,8005006855,"Census Tract 68.55, Arapahoe County, Colorado",1995,3
1400000US08005006856,8005006856,"Census Tract 68.56, Arapahoe County, Colorado",2005,1
1400000US08005006857,8005006857,"Census Tract 68.57, Arapahoe County, Colorado",1987,2
1400000US08005006858,8005006858,"Census Tract 68.58, Arapahoe County, Colorado",1996,1
1400000US08005007101,8005007101,"Census Tract 71.01, Arapahoe County, Colorado",1984,7
1400000US08005007103,8005007103,"Census Tract 71.03, Arapahoe County, Colorado",1992,3
1400000US08005007104,8005007104,"Census Tract 71.04, Arapahoe County, Colorado",2004,1
1400000US08005007105,8005007105,"Census Tract 71.05, Arapahoe County, Colorado",2002,2
1400000US08005007106,8005007106,"Census Tract 71.06, Arapahoe County, Colorado",2005,1
1400000US08005007107,8005007107,"Census Tract 71.07, Arapahoe County, Colorado",2006,1
1400000US08005007201,8005007201,"Census Tract 72.01, Arapahoe County, Colorado",1965,4
1400000US08005007202,8005007202,"Census Tract 72.02, Arapahoe County, Colorado",1957,2
1400000US08005007301,8005007301,"Census Tract 73.01, Arapahoe County, Colorado",1966,3
1400000US08005007302,8005007302,"Census Tract 73.02, Arapahoe County, Colorado",1962,2
1400000US08005007400,8005007400,"Census Tract 74, Arapahoe County, Colorado",-,**
1400000US08005007500,8005007500,"Census Tract 75, Arapahoe County, Colorado",1956,1
1400000US08005007600,8005007600,"Census Tract 76, Arapahoe County, Colorado",1961,9
1400000US08005007702,8005007702,"Census Tract 77.02, Arapahoe County, Colorado",1971,3
1400000US08005007703,8005007703,"Census Tract 77.03, Arapahoe County, Colorado",1970,3
1400000US08005007704,8005007704,"Census Tract 77.04, Arapahoe County, Colorado",1978,2
1400000US08005015100,8005015100,"Census Tract 151, Arapahoe County, Colorado",1960,2
1400000US08005080000,8005080000,"Census Tract 800, Arapahoe County, Colorado",1974,1
1400000US08005080100,8005080100,"Census Tract 801, Arapahoe County, Colorado",1978,2
1400000US08005080200,8005080200,"Census Tract 802, Arapahoe County, Colorado",1976,2
1400000US08005080300,8005080300,"Census Tract 803, Arapahoe County, Colorado",1980,3
1400000US08005080400,8005080400,"Census Tract 804, Arapahoe County, Colorado",1975,2
1400000US08005080500,8005080500,"Census Tract 805, Arapahoe County, Colorado",1979,1
1400000US08005080600,8005080600,"Census Tract 806, Arapahoe County, Colorado",1983,2
1400000US08005080700,8005080700,"Census Tract 807, Arapahoe County, Colorado",1977,1
1400000US08005080800,8005080800,"Census Tract 808, Arapahoe County, Colorado",1975,1
1400000US08005080900,8005080900,"Census Tract 809, Arapahoe County, Colorado",1966,1
1400000US08005081000,8005081000,"Census Tract 810, Arapahoe County, Colorado",1986,2
1400000US08005081100,8005081100,"Census Tract 811, Arapahoe County, Colorado",1986,1
1400000US08005081200,8005081200,"Census Tract 812, Arapahoe County, Colorado",1980,2
1400000US08005081300,8005081300,"Census Tract 813, Arapahoe County, Colorado",1980,2
1400000US08005081400,8005081400,"Census Tract 814, Arapahoe County, Colorado",1979,2
1400000US08005081500,8005081500,"Census Tract 815, Arapahoe County, Colorado",1977,2
1400000US08005081600,8005081600,"Census Tract 816, Arapahoe County, Colorado",-,**
1400000US08005081700,8005081700,"Census Tract 817, Arapahoe County, Colorado",1987,2
1400000US08005081800,8005081800,"Census Tract 818, Arapahoe County, Colorado",1976,2
1400000US08005081900,8005081900,"Census Tract 819, Arapahoe County, Colorado",1976,2
1400000US08005082000,8005082000,"Census Tract 820, Arapahoe County, Colorado",1988,2
1400000US08005082100,8005082100,"Census Tract 821, Arapahoe County, Colorado",1982,2
1400000US08005082200,8005082200,"Census Tract 822, Arapahoe County, Colorado",1982,2
1400000US08005082300,8005082300,"Census Tract 823, Arapahoe County, Colorado",1981,2
1400000US08005082400,8005082400,"Census Tract 824, Arapahoe County, Colorado",1977,2
1400000US08005082500,8005082500,"Census Tract 825, Arapahoe County, Colorado",1975,1
1400000US08005082600,8005082600,"Census Tract 826, Arapahoe County, Colorado",1987,2
1400000US08005082700,8005082700,"Census Tract 827, Arapahoe County, Colorado",1985,6
1400000US08005082800,8005082800,"Census Tract 828, Arapahoe County, Colorado",1981,2
1400000US08005082900,8005082900,"Census Tract 829, Arapahoe County, Colorado",1986,1
1400000US08005083000,8005083000,"Census Tract 830, Arapahoe County, Colorado",2005,2
1400000US08005083100,8005083100,"Census Tract 831, Arapahoe County, Colorado",2003,1
1400000US08005083200,8005083200,"Census Tract 832, Arapahoe County, Colorado",2001,1
1400000US08005083300,8005083300,"Census Tract 833, Arapahoe County, Colorado",1988,2
1400000US08005083400,8005083400,"Census Tract 834, Arapahoe County, Colorado",1986,1
1400000US08005083500,8005083500,"Census Tract 835, Arapahoe County, Colorado",1986,1
1400000US08005083600,8005083600,"Census Tract 836, Arapahoe County, Colorado",1985,1
1400000US08005083700,8005083700,"Census Tract 837, Arapahoe County, Colorado",1990,2
1400000US08005083800,8005083800,"Census Tract 838, Arapahoe County, Colorado",1978,2
1400000US08005083900,8005083900,"Census Tract 839, Arapahoe County, Colorado",1990,2
1400000US08005084000,8005084000,"Census Tract 840, Arapahoe County, Colorado",1978,2
1400000US08005084100,8005084100,"Census Tract 841, Arapahoe County, Colorado",1982,2
1400000US08005084200,8005084200,"Census Tract 842, Arapahoe County, Colorado",1982,1
1400000US08005084300,8005084300,"Census Tract 843, Arapahoe County, Colorado",1986,1
1400000US08005084400,8005084400,"Census Tract 844, Arapahoe County, Colorado",1985,2
1400000US08005084500,8005084500,"Census Tract 845, Arapahoe County, Colorado",1987,2
1400000US08005084600,8005084600,"Census Tract 846, Arapahoe County, Colorado",1978,2
1400000US08005084700,8005084700,"Census Tract 847, Arapahoe County, Colorado",1978,1
1400000US08005084800,8005084800,"Census Tract 848, Arapahoe County, Colorado",1992,1
1400000US08005084900,8005084900,"Census Tract 849, Arapahoe County, Colorado",1990,2
1400000US08005085000,8005085000,"Census Tract 850, Arapahoe County, Colorado",2002,2
1400000US08005085100,8005085100,"Census Tract 851, Arapahoe County, Colorado",-,**
1400000US08005085200,8005085200,"Census Tract 852, Arapahoe County, Colorado",2000,2
1400000US08005085300,8005085300,"Census Tract 853, Arapahoe County, Colorado",2004,2
1400000US08005085400,8005085400,"Census Tract 854, Arapahoe County, Colorado",1992,2
1400000US08005085500,8005085500,"Census Tract 855, Arapahoe County, Colorado",1986,1
1400000US08005085600,8005085600,"Census Tract 856, Arapahoe County, Colorado",1996,1
1400000US08005085700,8005085700,"Census Tract 857, Arapahoe County, Colorado",-,**
1400000US08005085800,8005085800,"Census Tract 858, Arapahoe County, Colorado",1988,1
1400000US08005085900,8005085900,"Census Tract 859, Arapahoe County, Colorado",2004,2
1400000US08005086000,8005086000,"Census Tract 860, Arapahoe County, Colorado",2003,1
1400000US08005086100,8005086100,"Census Tract 861, Arapahoe County, Colorado",1993,2
1400000US08005086200,8005086200,"Census Tract 862, Arapahoe County, Colorado",-,**
1400000US08005086300,8005086300,"Census Tract 863, Arapahoe County, Colorado",2003,2
1400000US08005086400,8005086400,"Census Tract 864, Arapahoe County, Colorado",1985,3
1400000US08005086500,8005086500,"Census Tract 865, Arapahoe County, Colorado",-,**
1400000US08005086600,8005086600,"Census Tract 866, Arapahoe County, Colorado",2005,1
1400000US08005086700,8005086700,"Census Tract 867, Arapahoe County, Colorado",2004,1
1400000US08005086800,8005086800,"Census Tract 868, Arapahoe County, Colorado",1986,3
1400000US08005086900,8005086900,"Census Tract 869, Arapahoe County, Colorado",1996,3
1400000US08005087000,8005087000,"Census Tract 870, Arapahoe County, Colorado",1989,4
1400000US08005087100,8005087100,"Census Tract 871, Arapahoe County, Colorado",1980,3
1400000US08005087200,8005087200,"Census Tract 872, Arapahoe County, Colorado",1988,3
1400000US08005087300,8005087300,"Census Tract 873, Arapahoe County, Colorado",1985,2
1400000US08031000102,8031000102,"Census Tract 1.02, Denver County, Colorado",1939-,***
1400000US08031000201,8031000201,"Census Tract 2.01, Denver County, Colorado",1948,2
1400000US08031000202,8031000202,"Census Tract 2.02, Denver County, Colorado",1945,3
1400000US08031000301,8031000301,"Census Tract 3.01, Denver County, Colorado",1939-,***
1400000US08031000302,8031000302,"Census Tract 3.02, Denver County, Colorado",1946,4
1400000US08031000303,8031000303,"Census Tract 3.03, Denver County, Colorado",1939-,***
1400000US08031000401,8031000401,"Census Tract 4.01, Denver County, Colorado",1939-,***
1400000US08031000402,8031000402,"Census Tract 4.02, Denver County, Colorado",1944,11
1400000US08031000501,8031000501,"Census Tract 5.01, Denver County, Colorado",1951,3
1400000US08031000502,8031000502,"Census Tract 5.02, Denver County, Colorado",1951,6
1400000US08031000600,8031000600,"Census Tract 6, Denver County, Colorado",1967,12
1400000US08031000701,8031000701,"Census Tract 7.01, Denver County, Colorado",1958,2
1400000US08031000702,8031000702,"Census Tract 7.02, Denver County, Colorado",1970,5
1400000US08031000800,8031000800,"Census Tract 8, Denver County, Colorado",1952,5
1400000US08031000902,8031000902,"Census Tract 9.02, Denver County, Colorado",1955,1
1400000US08031000903,8031000903,"Census Tract 9.03, Denver County, Colorado",1951,3
1400000US08031000904,8031000904,"Census Tract 9.04, Denver County, Colorado",1958,2
1400000US08031000905,8031000905,"Census Tract 9.05, Denver County, Colorado",1951,3
1400000US08031001000,8031001000,"Census Tract 10, Denver County, Colorado",1954,2
1400000US08031001101,8031001101,"Census Tract 11.01, Denver County, Colorado",1945,10
1400000US08031001102,8031001102,"Census Tract 11.02, Denver County, Colorado",1956,18
1400000US08031001301,8031001301,"Census Tract 13.01, Denver County, Colorado",1954,2
1400000US08031001302,8031001302,"Census Tract 13.02, Denver County, Colorado",1955,2
1400000US08031001401,8031001401,"Census Tract 14.01, Denver County, Colorado",1957,1
1400000US08031001402,8031001402,"Census Tract 14.02, Denver County, Colorado",1957,2
1400000US08031001403,8031001403,"Census Tract 14.03, Denver County, Colorado",1966,11
1400000US08031001500,8031001500,"Census Tract 15, Denver County, Colorado",1945,9
1400000US08031001600,8031001600,"Census Tract 16, Denver County, Colorado",2003,2
1400000US08031001701,8031001701,"Census Tract 17.01, Denver County, Colorado",1998,9
1400000US08031001702,8031001702,"Census Tract 17.02, Denver County, Colorado",1977,7
1400000US08031001800,8031001800,"Census Tract 18, Denver County, Colorado",1981,2
1400000US08031001901,8031001901,"Census Tract 19.01, Denver County, Colorado",1939-,***
1400000US08031001902,8031001902,"Census Tract 19.02, Denver County, Colorado",1968,8
1400000US08031002000,8031002000,"Census Tract 20, Denver County, Colorado",2002,2
1400000US08031002100,8031002100,"Census Tract 21, Denver County, Colorado",1939-,***
1400000US08031002300,8031002300,"Census Tract 23, Denver County, Colorado",1939-,***
1400000US08031002402,8031002402,"Census Tract 24.02, Denver County, Colorado",1939-,***
1400000US08031002403,8031002403,"Census Tract 24.03, Denver County, Colorado",1981,13
1400000US08031002601,8031002601,"Census Tract 26.01, Denver County, Colorado",1973,8
1400000US08031002602,8031002602,"Census Tract 26.02, Denver County, Colorado",1999,4
1400000US08031002701,8031002701,"Census Tract 27.01, Denver County, Colorado",1939-,***
1400000US08031002702,8031002702,"Census Tract 27.02, Denver County, Colorado",1964,2
1400000US08031002703,8031002703,"Census Tract 27.03, Denver County, Colorado",1946,11
1400000US08031002801,8031002801,"Census Tract 28.01, Denver County, Colorado",1940,7
1400000US08031002802,8031002802,"Census Tract 28.02, Denver County, Colorado",1951,6
1400000US08031002803,8031002803,"Census Tract 28.03, Denver County, Colorado",1966,3
1400000US08031002901,8031002901,"Census Tract 29.01, Denver County, Colorado",1939-,***
1400000US08031002902,8031002902,"Census Tract 29.02, Denver County, Colorado",1939-,***
1400000US08031003001,8031003001,"Census Tract 30.01, Denver County, Colorado",1939-,***
1400000US08031003002,8031003002,"Census Tract 30.02, Denver County, Colorado",1951,3
1400000US08031003003,8031003003,"Census Tract 30.03, Denver County, Colorado",1953,11
1400000US08031003004,8031003004,"Census Tract 30.04, Denver County, Colorado",1957,2
